2026-04-12	2604.08037
2026-04-12	2604.08046
2026-04-12	2604.08048
2026-04-12	2604.08064
2026-04-12	2604.08075
2026-04-12	2604.08079
2026-04-12	2604.08120
2026-04-12	2604.08121
2026-04-12	2604.08123
2026-04-12	2604.08138
2026-04-12	2604.08140
2026-04-12	2604.08181
2026-04-12	2604.08224
2026-04-12	2604.08291
2026-04-12	2604.08298
2026-04-12	2604.08302
2026-04-12	2604.08304
2026-04-12	2604.08340
2026-04-12	2604.08357
2026-04-12	2604.08358
2026-04-12	2604.08364
2026-04-12	2604.08374
2026-04-12	2604.08398
2026-04-12	2604.08412
2026-04-12	2604.08423
2026-04-12	2604.08425
2026-04-12	2604.08434
2026-04-12	2604.08438
2026-04-12	2604.08448
2026-04-12	2604.08451
2026-04-12	2604.08456
2026-04-12	2604.08468
2026-04-12	2604.08474
2026-04-12	2604.08476
2026-04-12	2604.08501
2026-04-12	2604.08503
2026-04-12	2604.08504
2026-04-12	2604.08509
2026-04-12	2604.08510
2026-04-12	2604.08516
2026-04-12	2604.08519
2026-04-12	2604.08524
2026-04-12	2604.08535
2026-04-12	2604.08536
2026-04-12	2604.08538
2026-04-12	2604.08539
2026-04-12	2604.08540
2026-04-12	2604.08541
2026-04-12	2604.08543
2026-04-12	2604.08544
2026-04-12	2604.08545
2026-04-12	2604.08546
2026-04-12	2604.08547
2026-04-12	2604.08548
2026-04-13	2604.08037
2026-04-13	2604.08046
2026-04-13	2604.08048
2026-04-13	2604.08075
2026-04-13	2604.08079
2026-04-13	2604.08121
2026-04-13	2604.08123
2026-04-13	2604.08138
2026-04-13	2604.08140
2026-04-13	2604.08181
2026-04-13	2604.08291
2026-04-13	2604.08302
2026-04-13	2604.08304
2026-04-13	2604.08326
2026-04-13	2604.08333
2026-04-13	2604.08357
2026-04-13	2604.08358
2026-04-13	2604.08364
2026-04-13	2604.08374
2026-04-13	2604.08395
2026-04-13	2604.08398
2026-04-13	2604.08412
2026-04-13	2604.08423
2026-04-13	2604.08425
2026-04-13	2604.08434
2026-04-13	2604.08438
2026-04-13	2604.08448
2026-04-13	2604.08451
2026-04-13	2604.08456
2026-04-13	2604.08468
2026-04-13	2604.08474
2026-04-13	2604.08476
2026-04-13	2604.08495
2026-04-13	2604.08501
2026-04-13	2604.08503
2026-04-13	2604.08504
2026-04-13	2604.08509
